key_0,actual,predicted,age,income,membership_duration,amount_spent,offer,difficulty,duration,reward,web,email,social,mobile,offer_type = _bogo,offer_type = _discount,offer_type = _informational,gender = _F,gender = _M,gender = _O
4127,0.0,0.0,31,51000.0,41,1.58,9,5,5,5,1,1,1,1,1,0,0,0,1,0
7935,1.0,1.0,49,99000.0,985,30.31,8,0,3,0,0,1,1,1,0,0,1,1,0,0
391,0.0,1.0,70,92000.0,259,18.38,3,0,4,0,1,1,0,1,0,0,1,1,0,0
6319,0.0,0.0,37,45000.0,91,5.3,9,5,5,5,1,1,1,1,1,0,0,1,0,0
11693,0.0,0.0,92,65000.0,866,2.97,2,10,5,10,1,1,1,1,1,0,0,1,0,0
6354,0.0,0.0,35,55000.0,201,5.66,4,5,7,5,1,1,0,1,1,0,0,0,1,0
11757,1.0,1.0,75,57000.0,201,11.29,6,7,7,3,1,1,1,1,0,1,0,1,0,0
17368,0.0,0.0,42,38000.0,177,2.47,7,10,10,2,1,1,1,1,0,1,0,0,1,0
2377,0.0,0.0,69,51000.0,88,4.67,5,20,10,5,1,1,0,0,0,1,0,0,1,0
6411,1.0,0.0,56,79000.0,393,21.22,5,20,10,5,1,1,0,0,0,1,0,0,1,0
6155,1.0,1.0,66,88000.0,224,15.91,8,0,3,0,0,1,1,1,0,0,1,1,0,0
5903,0.0,1.0,58,100000.0,995,28.63,9,5,5,5,1,1,1,1,1,0,0,0,1,0
17857,1.0,1.0,66,63000.0,1,17.59,8,0,3,0,0,1,1,1,0,0,1,1,0,0
10535,0.0,0.0,73,46000.0,1253,5.57,4,5,7,5,1,1,0,1,1,0,0,0,1,0
15620,0.0,0.0,44,89000.0,191,16.64,5,20,10,5,1,1,0,0,0,1,0,0,1,0
3925,0.0,0.0,90,56000.0,229,3.34,2,10,5,10,1,1,1,1,1,0,0,0,1,0
10055,0.0,0.0,60,81000.0,1023,27.44,5,20,10,5,1,1,0,0,0,1,0,1,0,0
8765,1.0,0.0,46,67000.0,284,2.27,3,0,4,0,1,1,0,1,0,0,1,0,1,0
