key_0,actual,predicted,age,income,membership_duration,difficulty,duration,reward,web,email,social,mobile,gender = _F,gender = _M,gender = _O
39279,3,3,76,53000.0,1403,0,4,0,1,1,0,1,1,0,0
23756,1,1,39,74000.0,935,0,3,0,0,1,1,1,0,1,0
142514,3,3,49,31000.0,126,0,3,0,0,1,1,1,1,0,0
10020,1,3,51,66000.0,245,0,4,0,1,1,0,1,0,1,0
73339,1,1,21,39000.0,1072,0,4,0,1,1,0,1,0,1,0
109304,3,3,29,41000.0,326,0,3,0,0,1,1,1,0,1,0
31818,3,3,58,40000.0,1471,0,3,0,0,1,1,1,0,1,0
52598,3,3,47,53000.0,1442,0,4,0,1,1,0,1,0,1,0
17979,1,1,63,49000.0,229,0,4,0,1,1,0,1,0,1,0
52502,1,3,52,55000.0,684,0,3,0,0,1,1,1,0,1,0
12111,1,3,42,74000.0,285,0,3,0,0,1,1,1,0,1,0
123583,1,1,79,78000.0,837,0,4,0,1,1,0,1,1,0,0
65531,3,3,72,109000.0,826,0,4,0,1,1,0,1,1,0,0
58212,3,3,57,66000.0,237,0,4,0,1,1,0,1,1,0,0
34011,3,3,26,54000.0,143,0,3,0,0,1,1,1,1,0,0
7427,1,1,57,110000.0,410,0,4,0,1,1,0,1,0,1,0
110901,3,3,71,64000.0,180,0,3,0,0,1,1,1,0,1,0
87045,1,1,69,62000.0,977,0,4,0,1,1,0,1,0,1,0
58861,0,0,73,92000.0,935,10,7,10,0,1,1,1,0,1,0
2474,3,3,65,57000.0,895,0,4,0,1,1,0,1,0,1,0
50793,1,1,50,51000.0,13,0,3,0,0,1,1,1,0,1,0
58341,3,3,90,84000.0,85,0,3,0,0,1,1,1,1,0,0
80440,1,3,28,33000.0,30,0,4,0,1,1,0,1,0,1,0
132849,1,1,42,36000.0,348,20,10,5,1,1,0,0,0,1,0
50544,1,1,56,73000.0,411,0,4,0,1,1,0,1,0,1,0
60818,3,3,65,72000.0,418,0,3,0,0,1,1,1,1,0,0
89823,2,2,35,68000.0,221,10,10,2,1,1,1,1,0,1,0
145753,1,1,61,56000.0,83,0,4,0,1,1,0,1,0,1,0
54937,1,1,38,66000.0,596,0,4,0,1,1,0,1,1,0,0
106593,3,1,37,49000.0,1240,0,4,0,1,1,0,1,0,1,0
43773,3,3,27,69000.0,223,0,3,0,0,1,1,1,0,1,0
128532,1,1,28,57000.0,256,0,4,0,1,1,0,1,1,0,0
70263,1,1,41,64000.0,559,0,4,0,1,1,0,1,1,0,0
32244,1,1,68,33000.0,401,0,4,0,1,1,0,1,0,1,0
37224,3,3,93,52000.0,220,0,4,0,1,1,0,1,0,1,0
144523,1,1,45,66000.0,292,0,4,0,1,1,0,1,1,0,0
133530,2,2,92,97000.0,1032,7,7,3,1,1,1,1,1,0,0
109765,0,0,23,53000.0,407,5,5,5,1,1,1,1,0,1,0
24484,1,1,78,58000.0,778,0,4,0,1,1,0,1,1,0,0
103433,2,2,57,86000.0,923,10,7,2,1,1,0,1,1,0,0
59065,3,3,64,57000.0,319,0,3,0,0,1,1,1,0,1,0
98788,3,3,42,65000.0,1032,0,3,0,0,1,1,1,1,0,0
111047,1,1,64,60000.0,152,0,4,0,1,1,0,1,1,0,0
141271,1,1,64,76000.0,972,0,3,0,0,1,1,1,1,0,0
39037,3,3,27,40000.0,1089,0,4,0,1,1,0,1,0,1,0
144270,3,3,39,50000.0,256,0,4,0,1,1,0,1,0,1,0
85652,1,1,39,94000.0,876,0,4,0,1,1,0,1,0,1,0
29619,3,3,19,43000.0,599,0,3,0,0,1,1,1,0,1,0
35446,1,1,55,30000.0,157,0,4,0,1,1,0,1,0,1,0
126018,1,1,71,92000.0,1083,0,3,0,0,1,1,1,0,1,0
89994,0,0,65,99000.0,666,5,7,5,1,1,0,1,1,0,0
94584,3,3,53,52000.0,960,0,3,0,0,1,1,1,1,0,0
17602,1,1,60,41000.0,320,0,4,0,1,1,0,1,0,1,0
81883,3,1,41,49000.0,789,0,3,0,0,1,1,1,0,1,0
99492,1,1,55,89000.0,462,0,4,0,1,1,0,1,1,0,0
80340,1,3,61,64000.0,639,0,3,0,0,1,1,1,1,0,0
90670,3,3,48,51000.0,321,0,3,0,0,1,1,1,0,1,0
124516,2,2,37,88000.0,355,7,7,3,1,1,1,1,1,0,0
103658,3,1,71,58000.0,541,0,3,0,0,1,1,1,1,0,0
90945,3,3,47,42000.0,280,0,3,0,0,1,1,1,1,0,0
101118,3,3,81,68000.0,428,0,3,0,0,1,1,1,0,1,0
3237,2,2,83,61000.0,189,7,7,3,1,1,1,1,0,1,0
62688,3,3,88,33000.0,219,0,3,0,0,1,1,1,0,1,0
93419,3,3,43,56000.0,588,0,4,0,1,1,0,1,0,1,0
14193,3,3,50,62000.0,29,0,3,0,0,1,1,1,0,1,0
